№ п/п;Код ресурса;Наименование ресурса;Ед.изм.;Кол-во;Сметная стоимоть  в базисном уровне;;;;
;;;;;На ед.    изм.;Общ;ЗП маш;;
116;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 03-08.724  Стеллаж.  МРЛ-37.4 ЦМ сварной, 6 полок металл. Габаритные размеры 900 х 600 х 1920 мм  МРЛ-37.4;шт;34;2178,26;74060,84;;;111
117;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 04-04.521 (МРЛ-30.1) Надстройка под дистиллятор. Настольная, SPC. Габаритные размеры 400 х 400 х 500 мм;шт;3;693,57;2080,71;;;108
153;"Прайс лист ООО ""ЛАБТАПС""";   - 1100/5-H Фонтанчик для глаз 100 х 70 мм.;шт;13;2318,84;30144,92;;;45
87;"Прайс-лист ООО ""КРАСЭЛКОМ""";   - 20-ПОЛЮСНЫЙ ФРОНТАЛЬНЫЙ СОЕДИНИТЕЛЬ;шт.;128;428,35;54828,8;;;40
88;"Прайс-лист ООО ""КРАСЭЛКОМ""";   - 40-ПОЛЮСНЫЙ ФРОНТАЛЬНЫЙ СОЕДИНИТЕЛЬ;шт.;42;676,24;28402,08;;;40
118;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 51-01.212 Стол лабораторный (СЛ-06.6). Рабочая поверхность химически стойкий пластик SPC Габаритные размеры 1200 х 620 х 900 мм;шт;5;2652,87;13264,35;;;132
119;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 51-01.501 Стол лабораторный (СЛ-06.3). Рабочая поверхность химически стойкий пластик SPC Габаритные размеры 900 х 620 х 750 мм;шт;1;2470,26;2470,26;;;131
120;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 51-01.511 Стол лабораторный (СЛ-06.5). Рабочая поверхность химически стойкий пластик SPC Габаритные размеры 1200 х 620 х 750 мм;шт;8;3078,7;24629,6;;;132
121;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 51-07.120 Стол для весов МРЛ-09.3 исп.2, стол в столе, ЛВД, гранит 630 х 430 х 60 мм. Габаритные размеры 1500 х 620 х 750 мм;шт;2;5269,13;10538,26;;;129
122;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 51-07.510 Стол весовой  МРЛ-09.1 . исп.2, стол в столе, SPC, гранит 630х430х60 мм. Габаритные размеры 1200 х 620 х 750 мм;шт;1;6376,52;6376,52;;;126
154;"Прайс лист ООО ""ЛАБТАПС""";   - Аварийный душ. 1100/350 Крепление к полу. Объем выпускаемой воды: 60 л./мин. Минимально допустимое давление в системе: 2 bar.;шт;6;7173,91;43043,46;;;130
74;"Прайс-лист ООО  ""Феникс Контакт Рус""";   - Автоматизированное рабочее место 19-дюймовый ПК 2U для монтажа в стойку с процессором Intel® Core™ i7-4770S, 16 ГБ ОЗУ. 480GB Solid State Drive, WIN 7 ULT SP1 X64, CDRW DVDRW Drive;шт.;2;67730,61;135461,22;;;185
120;"Прайс ООО ""ДАНФОСС"" №N1412207948-3, 116.4-01-СМ4.2.1 стр.31 п.3";"   - Автоматизированный блочный тепловой пункт на вентиляцию, Q = 995000 Вт, зависимое подключение, теплоноситель вода 100-70 ˚С (Тепловой пункт ""Ридан"" серии АУУ_Узел смешения для системы отопления или вентиляции)";комплект;1;63841,7;63841,7;;;214
121;"Прайс ООО ""ДАНФОСС"" №N1412207948-3, 116.4-01-СМ4.2.1 стр.31 п.3";"   - Автоматизированный блочный тепловой пункт на тепловые завесы, Q = 256000 Вт, зависимое подключение, теплоноситель вода 100-70 ˚С (Тепловой пункт ""Ридан"" серии АУУ_Узел смешения для системы отопления или вентиляции)";комплект;1;63841,7;63841,7;;;219
85;"п.280 КА; Прайс-лист №93 ПромЭлектроСервис";   - Автоматический выключатель АВВ S203  3п 32А;шт;2;240,29;480,58;;;48
115;"Прайс-лист ООО ""КРАСЭЛКОМ""";"   - АКТИВНЫЙ ШИННЫЙ МОДУЛЬ С ФУНКЦИЕЙ ""ГОРЯЧЕЙ ЗАМЕНЫ"" ДЛЯ ДВУХ МОДУЛЕЙ ВВОДА-ВЫВОДА";шт.;85;1602,04;136173,4;;;85
235;Прайслист  Завода «Электроконтактор»;   - Амперметр 0-150А  Э365-2;шт;6;119,71;718,26;;;29
210;"Прайс-лист ООО ""Люмэкс-маркетинг""";"   - Анализатор жидкости. Мощность: 36 ВА; питание: 198-242 В, 50 Гц. Габаритные размеры 305 х 320 х 110 мм";шт;2;136565,22;273130,44;;;107
211;"Прайс-лист ООО ""Люмэкс-маркетинг""";   - Анализатор ртути РА-915М;шт;5;228260,87;1141304,35;;;29
164;"Прайс-лист ""Вибротехник""";   - Анализатор ситовой А30;шт;1;20023,3;20023,3;;;27
90;"Прайс лист ""НПО ""Экопроект""";   - Асбестовое одеяло ПП-300, Габаритные размеры 1500 х 2000 м;шт;12;25,09;301,08;;;63
86;"п.280 КА; Прайс-лист №93 ПромЭлектроСервис";   - Атоматический   АВВ S203  3п 32А;шт;4;240,29;961,16;;;37
21;Прайслист АО «ПГ «Метран»;   - Барьер искрозащиты с гальванической развязкой  Метран-630-300-Ех;1 шт.;84;2086,96;10434,8;;;69
122;"Прайс-лист ООО ""Линдекс Сибирь""";   - Батарейный шкаф (полный);шт.;12;24668,87;296026,44;;;29
105;Прайс-лист «ЭКС электрокомплект сервис»;   - Безвинтовой оконечный стопор 6 мм шириной   249-116;шт;26;4,24;25,44;;;56
120;"Прайс-лист ЗАО НПП ""Ижтехноком""";   - Блок вводной электрический: стальной корпус 1U с точкой заземления, автоматический двухфазный выключатель, две ЕВРО-розетки, 19.043.50;1 шт.;1;173,91;173,91;;;139
106;КП Люмэкс от 25.11.2020г;   - Блок источника излучения (для РА915АМ-1/АМ-2, RA-915 AM/AMNG);1 шт.;1;8643,48;8643,48;;;66
116;"Прайс-лист ООО ""КРАСЭЛКОМ""";   - БЛОК ПИТАНИЯ SITOP MODULAR DC24V/20A;шт.;10;3944,73;39447,3;;;41
122;"Прайс-лист Компания""МИР БЕЗОПАСНОСТИ""";   - Блок управления противопожарными клапанами, для электромех. привода, 24В    БУОК-4 СВТ1163.41.310;шт;10;1758,65;17586,5;;;102
131;"Прайс-лист ООО ""Риттал""";   - Боковые стенки для шкафа TS 8;шт.;1;2441,87;2441,87;;;34
121;"Прайс-лист ЗАО НПП ""Ижтехноком""";   - Вентиляторный блок (1 вентилятор), 220 В, 22 Вт, 2550 об/мин, 2.103.001;1 шт.;1;373,91;373,91;;;76
233;"Прайс-лист ООО ""ЭЙ энд ДИ рус""";   - Весы аналитические  GH-200,  210г x 0,1мг;шт;3;37594,2;112782,6;;;46
202;"Прайс-лист ООО ""Компания Скайвес""";   - Весы аналитические EX225D 120/220г, 0,01/0,1мг;шт;1;32213,42;32213,42;;;51
234;"Прайс-лист ООО ""ЭЙ энд ДИ рус""";   - Весы аналитические GR-200, 210г x 0,1мг;шт;6;26289,86;157739,16;;;44
203;"Прайс-лист ООО ""Компания Скайвес""";"   - Весы лабораторные DL-5000. Мощность: 11 Вт; питание: 220 В, 50 Гц. Габаритные размеры 193 ? 262,5 ? 84,5 мм";шт;1;10710,14;10710,14;;;112
235;"Прайс-лист ООО ""ЭЙ энд ДИ рус""";   - Весы прецизионные DX-2000WP, 2200г х 0,01г;шт;5;13971,01;69855,05;;;47
228;"Прайс-лист  ООО ТД ""ВЭЛАН""";   - Взрывозащищенный пост управления  ПВК-ОЭАМ2.2-1ПЧ-14-(Л-1БМ-М20)х1-ХЛ1;комплект;4;740,81;2963,24;;;75
198;"Прайс-лист ООО ""ТД ""ВЭЛАН""";   - Взрывозащищенный пост управления  ПВК-ОЭАМ4.2-1ПЛ-1ПК-14-ExGN25(52)-1Л(230)-(Л-5-М25)х1-ХЛ1;комплект;7;3278,26;22947,82;;;96
199;"Прайс-лист ООО ""ТД ""ВЭЛАН""";   - Взрывозащищенный пост управления ПВК-ОЭАМ2.2-1ПК-14-1К(230)-(Л-1БМ-М20)х1-ХЛ1;комплект;4;881,74;3526,96;;;82
253;"Прайс-лист  ООО ""ТД ""ВЭЛАН""";   - Взрывозащищенный пост управления ПВК-ОЭАМ4.2-1ПЛ-1ПК-14-ExGN25(52)-1Л(230)-(Л-5-М25)х1-ХЛ1;шт;11;3278,26;36060,86;;;95
194;"Прайс-лист  ООО ""ТД ""ВЭЛАН""";   - Взрывозащищенный пост управления ПВК-ОЭАМ4.2-1ПЛ-1ПК-14-ExGN25(52)-1Л(230)-(Л-5-М25)х1-ХЛ1;комплект;6;3278,26;19669,56;;;95
